part_names,lifetime,load_cap,load_act,temp_act,Decision
selenoid_valve,12168378,95,83,54,No
bus_transmitter,28087963,23,15,102,Yes
ac_servo_synchronous_motor,28551683,42,16,52,Yes
gearbox,30321851,98,35,118,Yes
nh_fuse,26048866,84,49,36,No
contactor,26540057,27,21,135,Yes
encoder,10380289,100,16,63,Yes
digital_output,19009305,52,19,149,Yes
emergency_switch,19142934,37,29,33,Yes
interface_module,31270285,72,61,57,Yes
control_unit,19903590,51,48,127,No
contactor,17472212,82,19,62,Yes
sensor_reflex,5082382,12,10,102,Yes
double_motor_module,24263893,83,20,80,Yes
analog_output,23777032,87,62,72,No
switch_disconnector,18046418,13,12,105,Yes
single_motor_module,11037307,52,46,124,No
ac_servo_synchronous_motor,9187352,31,3,59,No
bus_transmitter,26439960,47,3,61,No
digital_output,4304675,52,11,56,No
digital_output,13276401,95,17,41,No
proximity_magnetic_sensor,27263127,82,24,73,Yes
limit_switch,30891831,83,58,65,No
repeater,19338589,64,57,96,Yes
computer,5311282,38,6,79,Yes
fan_motor,10938301,99,58,88,No
nh_fuse,6603858,97,51,91,Yes
interface_module,27574803,53,26,74,No
emergency_switch,8303224,74,60,41,No
digital_output,27948913,91,58,110,No
switch_disconnector,14759065,43,19,107,No
sensor_angle,22747738,45,41,49,Yes
auxiliary_switch_block,29466089,24,24,70,No
circuit_breaker_motor_protection,2830344,57,43,40,Yes
fan_motor,30452155,29,12,34,No
bus_transmitter,29608436,97,66,56,No
bus_transmitter,3261804,55,31,88,No
control_unit,30016276,89,79,45,Yes
interface_module,27534233,53,31,105,No
digital_input,9012355,52,48,148,Yes
limit_switch,10468930,45,17,57,Yes
active_line_module,18476643,35,24,88,No
air_conditioner_panel,7118463,40,30,80,Yes
switch_disconnector,2779713,27,26,90,Yes
output_interface,30768194,63,18,116,No
limit_switch,27916415,33,18,101,Yes
relay_emergency_block,8560523,76,29,84,No
contactor,23693005,46,43,38,No
active_line_module,30751908,67,31,150,Yes
encoder,14455797,100,65,130,No
power_supply,25726821,53,32,134,No
emergency_switch,26761076,27,15,106,No
switch_disconnector,20736171,6,2,57,No
analog_output,7715375,89,23,121,No
interface_module,2971038,65,4,39,Yes
ac_induction_motor,4616544,99,12,96,Yes
control_unit,26800737,83,34,32,Yes
nh_fuse,4011750,95,42,44,Yes
double_motor_module,6061711,29,9,90,No
proximity_magnetic_sensor,13068515,78,57,110,No
ac_servo_synchronous_motor,11823304,82,47,50,No
limit_switch,9481869,12,2,62,No
single_motor_module,13939035,69,22,54,Yes
selenoid_valve,3806109,37,7,50,Yes
ac_servo_synchronous_motor,30190667,51,6,53,No
ac_servo_synchronous_motor,4826877,89,67,101,Yes
output_interface,23999038,75,47,40,No
transformator,16636838,94,55,93,No
bus_transmitter,26869502,67,28,146,No
analog_input,25445730,45,6,121,Yes
analog_output,7686599,97,16,67,No
circuit_breaker_motor_protection,19875275,71,32,68,Yes
gearbox,3781390,100,82,59,Yes
auxiliary_switch_block,30873532,92,88,61,Yes
double_motor_module,11804287,35,32,131,Yes
digital_input,22657471,34,13,127,No
single_motor_module,8087160,85,49,142,Yes
fan_motor,11916425,37,8,57,Yes
ac_induction_motor,19092381,64,34,36,Yes
digital_output,16607114,27,19,100,No
single_motor_module,7695206,86,73,57,Yes
sensor_angle,21024175,65,62,126,No
air_conditioner_panel,25347584,87,42,127,No
computer,4754757,55,12,110,No
proximity_magnetic_sensor,19830069,62,46,44,Yes
single_motor_module,23004398,94,6,80,No
proportional_valve,13651388,76,15,81,No
proximity_sensor,3854550,61,47,87,No
fuse_holder,5670782,74,59,129,Yes
digital_output,10462353,99,57,130,Yes
analog_input,10602579,64,17,142,Yes
fan_motor,26599870,79,52,76,Yes
proximity_magnetic_sensor,9096603,19,11,97,No
circuit_breaker_motor_protection,5557629,83,67,106,No
line_reactor,4095140,47,28,86,No
proximity_sensor,15689758,77,37,128,Yes
analog_output,30025219,92,88,68,Yes
control_module_profibus,24828196,39,9,143,No
analog_input,5908022,90,22,60,No
sensor_angle,14863433,97,87,94,No
switch_disconnector,26425539,77,20,96,Yes
proportional_valve,4556867,60,11,118,No
sensor_angle,4088055,65,25,130,Yes
bus_transmitter,5923381,93,35,116,Yes
repeater,22940178,47,38,93,No
mcb_1_phase,10741695,100,20,149,No
bus_transmitter,30377067,70,37,43,Yes
contactor,8897328,81,29,91,No
analog_output,30274868,84,78,127,No
encoder,12649079,86,77,129,Yes
proximity_sensor,30798863,89,22,144,Yes
sensor_angle,8533709,85,70,103,No
relay_emergency_block,26104051,95,24,33,Yes
output_interface,11028894,92,56,42,Yes
double_motor_module,21467687,41,37,111,No
auxiliary_switch_block,17391980,54,31,83,No
control_module_profibus,6650687,57,29,75,Yes
power_supply,6287230,61,32,62,Yes
switch_disconnector,20903201,45,32,82,Yes
relay_emergency_block,24156742,93,78,140,Yes
computer,12961021,90,15,36,Yes
selenoid_valve,17540112,66,25,145,Yes
switch_disconnector,23419534,90,48,87,Yes
transformator,25748382,49,45,91,No
interface_module,7306371,82,77,117,Yes
control_module_profibus,23697986,79,60,69,No
proportional_valve,8973788,65,58,86,No
relay_emergency_block,30092136,83,9,105,Yes
power_supply,18944572,96,41,72,No
proximity_magnetic_sensor,19880984,68,61,47,Yes
relay_emergency_block,27714483,41,35,99,No
sensor_reflex,30697490,22,9,125,Yes
control_module_profibus,19897167,80,28,87,Yes
active_interface_module,30599968,74,59,68,No
bus_transmitter,2737932,97,65,83,Yes
selenoid_valve,29860449,72,72,64,No
contactor,21492145,19,15,98,No
power_supply,23762366,93,61,38,Yes
double_motor_module,22553719,55,10,40,No
interface_module,9789960,59,44,84,No
bus_transmitter,17231346,64,48,119,Yes
sensor_angle,21732634,20,18,108,No
proximity_sensor,13758206,43,16,51,No
analog_input,16416907,35,31,134,No
interface_module,4916165,92,23,97,No
digital_output,4099821,91,40,119,Yes
active_interface_module,27967320,58,36,106,Yes
digital_output,28993341,99,66,61,Yes
encoder,23827573,66,2,141,No
analog_output,13548752,12,12,63,No
emergency_switch,25021048,82,58,132,Yes
ac_induction_motor,17116892,36,34,128,No
auxiliary_switch_block,5386880,98,82,102,Yes
mcb_1_phase,19204843,77,25,108,Yes
fuse_holder,5386094,60,27,56,Yes
selenoid_valve,28623284,77,12,132,No
contactor,23042279,42,38,66,Yes
air_conditioner_panel,8019200,37,36,77,No
gearbox,27985631,85,32,72,Yes
bus_transmitter,9098200,67,19,135,Yes
auxiliary_switch_block,22633810,83,9,59,No
ac_servo_synchronous_motor,26030110,100,62,53,Yes
circuit_breaker_motor_protection,13466415,87,64,130,Yes
interface_module,8754450,88,86,41,Yes
circuit_breaker_motor_protection,22609926,57,29,66,No
single_motor_module,27006617,34,8,66,Yes
emergency_switch,2862489,70,9,51,No
sensor_angle,10833527,88,32,129,Yes
power_supply,18334795,68,3,146,No
control_unit,25015626,96,11,117,No
encoder,14260361,43,11,52,Yes
analog_input,13549829,82,54,135,No
gearbox,8647734,98,7,146,Yes
sensor_module_cabinet,23310950,96,1,72,No
bus_transmitter,26756583,52,6,75,No
transformator,14846316,53,44,70,Yes
single_motor_module,28090363,78,77,144,No
active_interface_module,8404060,55,1,83,No
double_motor_module,24016909,84,8,117,Yes
ac_servo_synchronous_motor,28330125,44,42,62,Yes
proportional_valve,15568105,98,71,67,No
fuse_holder,3178872,37,10,56,Yes
ac_servo_synchronous_motor,27748328,33,14,149,Yes
sensor_angle,29243856,66,10,36,No
repeater,18099096,81,15,77,No
nh_fuse,4754807,65,5,92,No
circuit_breaker_motor_protection,2930613,43,36,136,No
repeater,7793553,93,92,71,Yes
digital_output,13555817,27,12,127,Yes
double_motor_module,8837450,79,68,88,Yes
line_reactor,13403363,40,20,78,No
proximity_sensor,9948911,79,23,124,Yes
transformator,26338032,37,16,41,Yes
transformator,9011980,62,22,132,No
nh_fuse,10685088,95,44,65,No
fan_motor,25196505,73,8,107,Yes
single_motor_module,31312581,66,21,74,No
proximity_magnetic_sensor,31022216,49,29,116,Yes
auxiliary_switch_block,10149860,92,18,125,Yes
relay_emergency_block,7012320,93,81,99,No
proportional_valve,14265382,69,32,58,Yes
limit_switch,4789940,46,38,73,Yes
digital_output,20305491,87,52,55,Yes
switch_disconnector,6248241,94,7,145,No
emergency_switch,30722649,72,7,61,Yes
power_supply,28369575,64,17,93,Yes
digital_output,5467696,96,82,45,No
circuit_breaker_motor_protection,22132626,65,13,32,No
emergency_switch,5371850,98,90,101,No
active_line_module,16584419,72,51,55,Yes
